id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
407,2020-01-03,35,41,6,30,27,5,4
408,2020-01-10,4,25,49,34,14,9,4
409,2020-01-17,49,1,45,32,23,10,5
410,2020-01-24,5,29,48,20,12,7,9
411,2020-01-31,39,12,1,23,7,4,3
412,2020-02-07,44,7,22,16,36,3,4
413,2020-02-14,30,49,2,6,32,4,1
414,2020-02-21,47,39,45,13,2,4,6
415,2020-02-28,38,12,22,24,29,5,6
416,2020-03-06,35,36,41,19,15,5,10
417,2020-03-13,17,1,39,29,42,7,8
418,2020-03-20,30,37,28,14,9,10,3
419,2020-03-27,41,13,34,23,19,3,8
420,2020-04-03,3,41,26,40,21,8,10
421,2020-04-10,43,50,2,8,7,3,2
422,2020-04-17,33,41,1,18,23,6,2
423,2020-04-24,35,13,34,6,15,5,1
424,2020-05-01,21,11,41,6,12,2,1
425,2020-05-08,11,15,36,9,43,9,8
426,2020-05-15,34,49,29,21,27,8,10
427,2020-05-22,15,40,32,45,12,7,10
428,2020-05-29,22,31,36,8,32,6,10
429,2020-06-05,29,39,9,16,17,1,8
430,2020-06-12,7,22,30,48,16,8,2
431,2020-06-19,38,47,33,2,22,9,2
432,2020-06-26,47,34,14,32,16,7,9
433,2020-07-03,12,36,48,34,47,7,5
434,2020-07-10,5,9,6,29,15,4,9
435,2020-07-17,13,21,25,35,34,5,10
436,2020-07-24,7,11,43,19,32,2,8
437,2020-07-31,3,19,43,28,49,3,2
438,2020-08-07,28,24,15,9,4,2,6
439,2020-08-14,35,9,48,27,20,9,5
440,2020-08-21,26,27,49,30,46,2,1
441,2020-08-28,22,41,8,38,11,4,7
442,2020-09-04,5,23,49,38,28,3,9
443,2020-09-11,5,2,45,43,24,10,4
444,2020-09-18,40,7,14,12,42,7,8
445,2020-09-25,1,7,9,46,29,9,10
446,2020-10-02,39,49,15,34,19,7,2
447,2020-10-09,23,17,29,11,1,8,1
448,2020-10-16,11,35,50,44,5,4,10
449,2020-10-23,23,17,21,37,45,9,7
450,2020-10-30,39,33,19,11,24,1,4
451,2020-11-06,12,5,50,47,26,3,2
452,2020-11-13,38,37,5,17,21,4,1
453,2020-11-20,50,20,34,49,18,7,8
454,2020-11-27,25,22,2,30,1,10,5
455,2020-12-04,40,41,27,1,37,7,10
456,2020-12-11,49,13,15,4,41,9,1
457,2020-12-18,4,17,28,50,27,5,8
458,2020-12-25,7,26,42,10,19,9,1
459,2021-01-01,36,43,17,38,46,6,4
460,2021-01-08,22,25,50,8,38,9,8
461,2021-01-15,19,46,10,32,36,6,4
462,2021-01-22,40,41,38,48,46,6,2
463,2021-01-29,30,16,36,43,33,4,8
464,2021-02-05,33,46,3,16,2,10,2
465,2021-02-12,27,18,24,44,15,7,2
466,2021-02-19,35,27,36,38,41,7,5
467,2021-02-26,32,24,3,29,13,1,7
468,2021-03-05,23,40,9,42,34,1,4
469,2021-03-12,26,11,34,6,18,8,5
470,2021-03-19,19,37,3,34,11,8,9
471,2021-03-26,41,44,7,38,50,8,1
472,2021-04-02,1,43,36,3,4,2,3
473,2021-04-09,32,18,23,29,11,3,7
474,2021-04-16,31,28,12,20,19,6,9
475,2021-04-23,6,3,11,14,49,5,1
476,2021-04-30,43,27,34,40,23,5,7
477,2021-05-07,27,7,19,3,29,7,10
478,2021-05-14,42,50,29,15,1,6,3
479,2021-05-21,39,2,33,15,12,9,4
480,2021-05-28,15,37,43,35,26,8,3
481,2021-06-04,49,26,13,50,17,7,1
482,2021-06-11,23,8,20,50,48,8,9
483,2021-06-18,44,49,14,46,11,10,7
484,2021-06-25,30,4,22,47,17,1,8
485,2021-07-02,25,10,5,31,4,4,6
486,2021-07-09,31,8,14,15,20,9,8
487,2021-07-16,14,9,39,37,24,4,9
488,2021-07-23,13,48,42,33,50,3,9
489,2021-07-30,5,43,14,44,39,6,1
490,2021-08-06,21,16,29,19,36,7,1
491,2021-08-13,46,31,39,4,43,4,1
492,2021-08-20,34,8,36,31,45,10,8
493,2021-08-27,42,22,19,20,25,6,4
494,2021-09-03,5,9,20,44,48,4,10
495,2021-09-10,42,14,18,2,23,10,5
496,2021-09-17,20,27,17,14,32,7,3
497,2021-09-24,38,49,22,12,35,10,5
498,2021-10-01,33,34,37,20,39,8,4
499,2021-10-08,46,20,28,32,38,6,8
500,2021-10-15,25,8,6,21,2,6,9
501,2021-10-22,33,38,15,43,34,3,7
502,2021-10-29,44,38,11,23,37,4,8
503,2021-11-05,13,25,6,49,31,2,7
504,2021-11-12,4,44,46,30,43,3,1
505,2021-11-19,21,6,12,34,20,5,4
506,2021-11-26,17,7,37,39,21,5,3
507,2021-12-03,2,5,23,13,15,8,6
508,2021-12-10,8,34,30,48,9,8,5
509,2021-12-17,16,50,8,44,6,10,1
510,2021-12-24,42,17,21,35,3,9,8
511,2021-12-31,43,36,42,7,16,6,8
512,2022-01-07,8,17,21,23,47,2,6
513,2022-01-14,9,15,27,41,44,2,4
514,2022-01-21,2,5,9,29,32,2,4
515,2022-01-28,5,21,23,29,35,7,9
516,2022-02-04,12,18,27,33,41,9,10
517,2022-02-11,5,10,26,37,42,3,10
518,2022-02-18,5,10,25,29,32,4,7
519,2022-02-25,4,19,34,41,43,1,5
520,2022-03-04,1,17,20,36,49,6,9
521,2022-03-11,5,31,39,46,49,8,9
522,2022-03-18,1,8,33,38,43,2,6
523,2022-03-25,11,20,31,35,46,6,10
524,2022-03-29,10,15,18,24,39,2,11
525,2022-04-01,7,8,35,37,49,5,8
526,2022-04-05,9,10,28,38,48,8,12
527,2022-04-08,2,26,41,45,48,5,12
528,2022-04-12,19,20,24,36,41,4,5
529,2022-04-15,2,5,10,20,24,4,7
530,2022-04-19,3,7,15,17,35,3,4
531,2022-04-22,2,18,28,42,50,2,11
532,2022-04-26,10,27,32,41,49,1,9
533,2022-04-29,5,6,17,18,34,1,11
534,2022-05-03,6,13,22,24,30,5,10
535,2022-05-06,5,6,39,49,50,10,12
536,2022-05-10,3,7,34,43,50,5,10
537,2022-05-13,7,13,30,43,47,7,11
538,2022-05-17,2,13,41,45,50,2,3
539,2022-05-20,4,22,28,32,47,1,2
540,2022-05-24,25,26,40,45,47,4,5
541,2022-05-27,8,26,29,41,48,3,5
542,2022-05-31,14,30,37,39,50,4,12
543,2022-06-03,4,22,27,39,41,1,9
544,2022-06-07,5,7,45,48,49,3,8
545,2022-06-10,3,21,23,28,46,10,12
546,2022-06-14,11,28,30,35,50,7,8
547,2022-06-17,1,2,23,43,45,1,9
548,2022-06-21,6,10,17,29,49,2,5
549,2022-06-24,13,24,30,35,48,4,5
550,2022-06-28,2,10,23,29,50,3,10
551,2022-07-01,4,10,24,34,35,7,8
552,2022-07-05,7,16,28,36,43,2,11
553,2022-07-08,6,10,22,30,36,8,10
554,2022-07-12,3,16,26,30,47,1,2
555,2022-07-15,9,11,16,19,32,3,5
556,2022-07-19,20,23,24,37,43,9,10
557,2022-07-22,1,11,17,19,33,3,7
558,2022-07-26,1,2,7,24,25,2,5
559,2022-07-29,14,26,29,46,50,10,11
560,2022-08-02,6,11,39,40,47,7,8
561,2022-08-05,10,12,17,31,49,2,8
562,2022-08-09,23,26,36,40,44,5,10
563,2022-08-12,14,32,34,38,46,2,5
564,2022-08-16,4,17,32,34,49,4,9
565,2022-08-19,4,13,32,39,41,6,8
566,2022-08-23,2,9,18,21,39,4,10
567,2022-08-26,2,6,18,29,37,10,12
568,2022-08-30,18,27,41,45,49,7,9
569,2022-09-02,2,5,11,22,24,7,12
570,2022-09-06,6,10,11,20,38,3,9
571,2022-09-09,9,18,26,41,43,4,9
572,2022-09-13,20,22,26,34,40,8,12
573,2022-09-16,16,25,27,41,45,3,9
574,2022-09-20,2,13,22,36,40,3,5
575,2022-09-23,20,30,38,39,44,2,12
